Designator,Footprint,Quantity,Value,LCSC Part #
"B0, B1, B2",SW_SPST_PTS645,3,PTS645,C285463
"C1, C11, C12, C21, C3, C4, C5, C7, C8, C9",0805,10,22uF,C29277
"C10, C2, C6",0603,3,100pF,C14665
"C13, C16, C17, C19, C20, C22, C23, C24, C47",0805,9,2.2uF,C87995
"C14, C60",0603,2,220nF,C326805
"C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C48, C49, C50, C51, C52, C53, C69, C70, C71, C72",0603,21,22nF,C107137
"D0, D11, D19",0805,3,RED,C94868
D1,0805,1,ORANGE,C284931
"D10, D13, D14, D16, D17, D23, D24, D25, D26, D27, D28, D29",D_SOD-323_HandSoldering,12,1N914,C258181
"D12, D15",D_SOD-323_HandSoldering,2,BAT54W,C12744
D18,0805,1,GREEN,C364562
"D20, D21",D_SOD-323_HandSoldering,2,3.6V,C353525
D22,0805,1,BLUE,C375453
D8,D_SMA,1,STPS2L40A,511-STPS2L30A
"L1, L2, L3",L_1008_1210,3,2.2uH,C285758
Q1,SOT-23,1,BC857,C181146
Q2,SOT-23,1,2N7002,C71533
"R1, R3, R30, R4, RB2",0603,5,4.7k,C218056
"R10, R7",0603,2,130,13-AC0603FR-07130RLCT-ND
"R11, R12, R27, R28",0603,4,10k,C15401
"R13, R31, R32, R33, R38, R56, R63, R64, R9, RA1, RA2, RA3",0603,12,15k,C217750
"R2, RB1",0603,2,18k,C425614
"R29, R40, R54, R6, R66, R8",0603,6,1.1k,13-AC0603FR-071K1LCT-ND
"R36, R37, R39, R41, R42, R62",0603,6,549,13-AC0603FR-07549RLCT-ND
"R49, R50, R52, R53",0603,4,27,C325726
R5,0603,1,2.2M,C18679
RB3,0603,1,3.3k,C425629
U1,BGA-381_pitch0.8mm_dia0.4mm,1,LFE5U-85F-6BG381C,C446029
U10,SOA008-150-208mil,1,IS25LP128F-JBLE,C113767
U2,TSOP54,1,IS42S16160J-6TL,C1353383
"U3, U4, U5",TSOT-25,3,TLV62569DBV,C141836
U6,FT231X-SSOP-20_4.4x6.5mm_Pitch0.65mm,1,FT231XS,C132159
U9,ESP32-WROVER-E,1,ESP32-WROVER-E,
"US1, US2",USB-MICRO-B-FCI-10118192-0001LF,2,MICRO_USB,C132564
Y1,Crystal_SMD_7050_4Pads,1,FNETHE025,C390569
